timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:49:11,69,98,34.67,0.98,-0.01,0.22,4.5
14:49:12,67,98,34.53,0.98,-0.02,0.23,4.5
14:49:12,68,97,34.48,0.98,-0.02,0.22,4.5
14:49:12,66,97,34.72,0.98,-0.02,0.22,4.5
14:49:12,68,98,34.53,0.99,-0.02,0.22,4.5
14:49:12,67,97,34.72,0.99,-0.02,0.22,4.5
14:49:12,69,97,34.44,0.98,-0.02,0.22,4.5
14:49:12,66,98,34.62,0.98,-0.02,0.22,4.5
14:49:12,69,97,34.62,0.98,-0.01,0.22,4.5
14:49:12,66,99,34.72,0.99,-0.02,0.22,4.5
14:49:12,70,97,34.67,0.99,-0.02,0.22,4.5
14:49:12,68,99,34.48,0.98,-0.02,0.22,4.5
14:49:12,69,98,34.62,0.99,-0.02,0.21,4.5
14:49:12,69,99,34.62,0.98,-0.02,0.22,4.5
14:49:12,69,98,34.48,0.98,-0.02,0.21,4.5
14:49:12,68,97,34.72,0.98,-0.02,0.22,4.5
14:49:12,69,98,34.44,0.99,-0.02,0.22,4.5
14:49:12,67,98,34.62,0.99,-0.02,0.22,4.5
14:49:12,71,99,34.67,0.98,-0.02,0.22,4.5
14:49:13,69,98,34.72,0.99,-0.02,0.22,4.5
14:49:13,68,97,34.67,0.98,-0.02,0.22,4.5
14:49:13,68,97,34.44,0.99,-0.01,0.22,4.5
14:49:13,69,99,34.62,0.98,-0.02,0.22,4.5
14:49:13,68,98,34.48,0.99,-0.02,0.22,4.5
14:49:13,69,97,34.72,0.98,-0.02,0.22,4.5
14:49:13,70,98,34.72,0.99,-0.01,0.22,4.5
14:49:13,71,99,34.62,0.99,-0.01,0.22,4.5
14:49:13,69,97,34.62,0.99,-0.02,0.22,4.5
14:49:13,72,97,34.62,0.99,-0.01,0.22,4.5
14:49:13,71,99,34.62,0.99,-0.02,0.22,4.5
14:49:13,69,99,34.44,0.98,-0.01,0.22,4.5
14:49:13,69,97,34.48,0.99,-0.02,0.22,4.5
14:49:13,69,98,34.44,0.99,-0.01,0.22,4.5
14:49:13,72,98,34.62,0.99,-0.02,0.22,4.5
14:49:13,69,99,34.62,0.98,-0.02,0.22,4.5
14:49:13,71,97,34.72,0.98,-0.02,0.22,4.5
14:49:13,70,98,34.72,0.98,-0.02,0.22,4.5
14:49:13,71,97,34.67,0.98,-0.02,0.22,4.5
14:49:13,71,99,34.53,0.98,-0.02,0.22,4.5
14:49:13,72,98,34.72,0.99,-0.02,0.23,4.5
14:49:13,72,97,34.62,0.98,-0.02,0.22,4.5
14:49:14,72,97,34.72,0.99,-0.02,0.22,4.5
14:49:14,71,98,34.67,0.99,-0.02,0.22,4.5
14:49:14,70,98,34.53,0.98,-0.02,0.22,4.5
14:49:14,73,97,34.62,0.98,-0.02,0.22,4.5
14:49:14,71,98,34.81,0.98,-0.02,0.22,4.5
14:49:14,72,99,34.48,0.98,-0.01,0.22,4.5
14:49:14,72,99,34.67,0.99,-0.02,0.22,4.5
14:49:14,72,99,34.53,0.98,-0.02,0.22,4.5
14:49:14,73,97,34.44,0.98,-0.02,0.22,4.5
14:49:14,72,97,34.62,0.99,-0.02,0.22,4.5
14:49:14,71,97,34.34,0.98,-0.02,0.22,4.5
14:49:14,74,97,34.62,0.98,-0.02,0.22,4.5
14:49:14,71,97,34.53,0.98,-0.02,0.22,4.5
14:49:14,71,99,34.62,0.98,-0.02,0.22,4.5
14:49:14,72,97,34.62,0.98,-0.02,0.22,4.5
14:49:14,73,99,34.72,0.99,-0.02,0.21,4.5
14:49:14,71,97,34.62,0.99,-0.02,0.23,4.5
14:49:14,72,99,34.81,0.99,-0.02,0.21,4.5
14:49:14,74,98,34.48,0.98,-0.02,0.22,4.5
14:49:15,74,99,34.62,0.99,-0.02,0.21,4.5
14:49:15,75,99,34.53,0.98,-0.02,0.23,4.5
14:49:15,72,97,34.72,0.99,-0.02,0.22,4.5
14:49:15,75,97,34.44,0.99,-0.02,0.22,4.5
14:49:15,74,98,34.72,0.98,-0.02,0.21,4.5
14:49:15,74,97,34.48,0.99,-0.02,0.22,4.5
14:49:15,73,99,34.48,0.98,-0.02,0.22,4.5
14:49:15,74,97,34.62,0.98,-0.03,0.22,4.5
14:49:15,73,99,34.72,0.98,-0.02,0.22,4.5
14:49:15,74,97,34.29,0.99,-0.02,0.21,4.5
14:49:15,74,98,34.62,0.99,-0.02,0.22,4.5
14:49:15,76,98,34.86,0.99,-0.02,0.22,4.5
14:49:15,72,98,34.48,0.99,-0.02,0.22,4.5
14:49:15,75,98,34.67,0.99,-0.02,0.21,4.5
14:49:15,72,98,34.48,0.99,-0.02,0.22,4.5
14:49:15,73,98,34.72,0.99,-0.02,0.21,4.5
14:49:15,74,99,34.62,0.99,-0.02,0.22,4.5
14:49:15,73,97,34.81,0.99,-0.02,0.22,4.5
14:49:15,75,97,34.53,0.98,-0.02,0.22,4.5
14:49:16,76,98,34.62,0.99,-0.02,0.22,4.5
14:49:16,76,99,34.62,0.98,-0.02,0.22,4.5
14:49:16,77,99,34.48,0.99,-0.03,0.22,4.5
14:49:16,76,98,34.48,0.99,-0.02,0.22,4.5
14:49:16,77,99,34.67,0.99,-0.02,0.22,4.5
14:49:16,75,97,34.72,0.99,-0.02,0.22,4.5
14:49:16,75,97,34.53,0.98,-0.02,0.22,4.5
14:49:16,75,98,34.62,0.99,-0.02,0.22,4.5
14:49:16,74,99,34.44,0.98,-0.02,0.21,4.5
14:49:16,78,99,34.62,0.99,-0.02,0.22,4.5
14:49:16,75,98,34.48,0.98,-0.02,0.22,4.5
14:49:16,77,97,34.48,0.98,-0.02,0.22,4.5
14:49:16,76,97,34.67,0.98,-0.02,0.22,4.5
14:49:17,76,99,34.72,0.99,-0.02,0.22,4.5
14:49:17,77,97,34.53,0.99,-0.02,0.22,4.5
14:49:17,75,97,34.48,0.99,-0.02,0.22,4.5
14:49:17,78,99,34.48,0.99,-0.02,0.21,4.5
14:49:17,77,97,34.62,0.99,-0.02,0.21,4.5
14:49:17,76,99,34.67,0.98,-0.02,0.22,4.5
14:49:17,76,97,34.53,0.99,-0.02,0.22,4.5
14:49:17,78,97,34.44,0.98,-0.02,0.22,4.5
14:49:17,76,98,34.72,0.98,-0.02,0.22,4.5
14:49:17,79,97,34.53,0.99,-0.02,0.21,4.5
14:49:17,76,97,34.48,0.99,-0.02,0.22,4.5
14:49:17,78,97,34.53,0.98,-0.02,0.22,4.5
14:49:17,79,98,34.62,0.98,-0.02,0.22,4.5
14:49:17,76,99,34.62,0.99,-0.02,0.22,4.5
14:49:17,79,97,34.62,0.99,-0.02,0.22,4.5
14:49:17,76,97,34.62,0.98,-0.02,0.22,4.5
14:49:17,77,98,34.72,0.99,-0.02,0.22,4.5
14:49:17,78,97,34.44,0.98,-0.02,0.22,4.5
14:49:17,79,97,34.72,0.98,-0.02,0.22,4.5
14:49:17,80,99,34.72,0.99,-0.02,0.22,4.5
14:49:17,80,97,34.53,0.98,-0.02,0.21,4.5
14:49:17,80,98,34.48,0.98,-0.02,0.22,4.5
14:49:17,79,99,34.72,0.99,-0.02,0.22,4.5
14:49:17,78,97,34.72,0.99,-0.02,0.22,4.5
14:49:17,79,99,34.72,0.98,-0.02,0.22,4.5
14:49:17,78,98,34.67,0.99,-0.02,0.22,4.5
14:49:18,78,98,34.48,0.98,-0.02,0.22,4.5
14:49:18,79,98,34.62,0.99,-0.02,0.22,4.5
14:49:18,79,98,34.53,0.98,-0.02,0.21,4.5
14:49:18,77,99,34.53,0.98,-0.02,0.22,4.5
14:49:18,81,97,34.53,0.99,-0.02,0.22,4.5
14:49:18,80,98,34.67,0.99,-0.02,0.21,4.5
14:49:18,80,98,34.29,0.98,-0.02,0.23,4.5
14:49:18,79,99,34.53,0.99,-0.02,0.22,4.5
14:49:18,81,97,34.53,0.99,-0.01,0.21,4.5
14:49:18,79,99,34.81,0.99,-0.02,0.22,4.5
14:49:18,80,99,34.67,0.99,-0.02,0.22,4.5
14:49:18,81,97,34.72,0.99,-0.02,0.21,4.5
14:49:18,82,99,34.67,0.98,-0.02,0.21,4.5
14:49:19,80,97,34.62,0.99,-0.02,0.22,4.5
14:49:19,81,99,34.62,0.99,-0.02,0.21,4.5
14:49:19,82,98,34.67,0.99,-0.02,0.21,4.5
14:49:19,83,99,34.72,0.99,-0.02,0.21,4.5
14:49:19,82,97,34.81,0.98,-0.02,0.22,4.5
14:49:19,83,97,34.44,0.99,-0.02,0.21,4.5
14:49:19,83,99,34.53,0.99,-0.02,0.21,4.5
14:49:19,82,98,34.62,0.99,-0.01,0.21,4.5
14:49:19,81,97,34.48,0.98,-0.02,0.21,4.5
